ID,RA,DEC,F115W_CIRC1,F115W_CIRC4,F444W_CIRC1,F444W_CIRC4,log_Mstar,z_best,phys_id,color_gradient,compactness
87722,53.069394162758876,-27.831954955402797,2.6823773,10.75037,12.229023,20.217915,8.009462280618145,9.08,87722,0.96139735,0.6048607
87826,53.15087230852721,-27.83179292455111,1.8351096,2.9450083,7.4635744,8.573622,7.500130348936722,8.86,87826,0.36301762,0.8705276
88172,53.156324927514575,-27.831283194663293,9.077608,14.066854,32.072815,37.691036,7.952745979875191,8.54,88172,0.30031133,0.8509401
88792,53.14099715706775,-27.830384698418257,3.2656868,5.453249,3.6282916,3.4314485,7.5008633585914835,8.34,88792,0.6172638,1.0573645
89110,53.182178013641746,-27.829906507934737,4.280548,2.7755098,8.347793,11.380386,7.718512436071718,8.82,89110,-0.8068549,0.73352456
90359,53.14099764382035,-27.828252802611942,6.575092,6.205121,7.130797,8.5975,7.620339105725799,8.01,90359,-0.2659641,0.8294036
90423,53.175173046346444,-27.82817779411604,1.8553957,2.8238814,4.4167166,2.5237203,7.1429203258168865,8.43,90423,1.0636704,1.7500817
91254,53.1780292633797,-27.82698261836588,3.8325493,4.9943233,7.553408,10.438389,7.77483923761481,8.86,91254,-0.06375413,0.7236182
91748,53.1589722840964,-27.826366361996747,1.0432513,0.35312322,5.5306363,6.8857994,7.402808780247215,8.39,91748,-1.4141047,0.8031945
92420,53.168214913450214,-27.825503609204876,1.1945468,4.0374637,2.3103504,3.9843893,7.510056341240384,9.94,92420,0.7305539,0.57985055
93282,53.170156694529666,-27.8245382194375,0.48045313,0.68555033,3.6642187,6.1490536,7.268478631042511,9.29,93282,-0.17609644,0.59589964
94787,53.165523330698214,-27.8230289962228,0.28333318,1.005608,4.5503135,6.6072955,7.625588610197037,9.44,94787,0.9703721,0.6886802
95630,53.08625782310207,-27.822156381164337,8.913213,15.45487,9.653822,19.736652,7.756799833263294,8.1,95630,-0.17885774,0.4891317
96216,53.166345198413104,-27.82155864955287,0.30888414,0.60926354,7.883258,7.89751,6.572186511872592,15.19,96216,0.73556274,0.99819535
98927,53.15424527695368,-27.818639401137382,3.595274,7.1117377,4.260107,6.0416403,7.326431012973851,8.54,98927,0.36127353,0.70512426
99067,53.18736202725059,-27.818476440085337,2.542342,4.2740273,8.936296,10.106147,7.713551136262971,8.96,99067,0.43043825,0.88424367
99915,53.17602891096916,-27.817396362194174,2.158656,5.3155866,23.587442,33.057747,7.830532555738775,8.84,99915,0.6119384,0.7135224
100173,53.177513451290146,-27.817084327997193,3.8031855,4.2362213,9.699766,13.124163,7.490878387141086,8.34,100173,-0.21119803,0.739077
100293,53.16873487375635,-27.816976860627012,1.2591476,0.9624164,6.046029,4.863004,7.296406522961315,9.2,100293,-0.05537018,1.2432704
101510,53.110600821132884,-27.815430721975602,1.1610928,1.7164227,4.917149,8.113814,7.475633971475802,8.94,101510,-0.11938586,0.6060219
101813,53.06439971383388,-27.815049553827965,2.6860077,6.2295012,6.426774,5.0560503,7.246269969093035,8.04,101813,1.1738192,1.2711056
101868,53.08745763718541,-27.814921366389946,31.44809,49.289936,140.69827,171.36801,8.543713049233641,8.03,101868,0.27380744,0.82102996
102618,53.10109739169697,-27.81398391931092,3.1062522,6.7281637,8.797083,26.912756,7.275873843514502,8.04,102618,-0.37489915,0.3268741
104636,53.1476706056375,-27.811234617362434,3.1210587,2.2941544,13.816881,17.362507,7.425429993796317,9.23,104636,-0.5822042,0.7957884
104689,53.14778733146039,-27.811191941497107,1.7906643,0.990247,2.3670125,1.8675373,7.0088027520830805,8.28,104689,-0.38584843,1.2674513
107324,53.16735571922607,-27.80750839752338,0.61213326,1.844844,13.964593,19.502008,7.978476840327568,9.43,107324,0.8351565,0.7160592
107441,53.07609914369357,-27.807346907789512,2.0037267,11.840599,22.162027,22.841572,5.432247286927052,14.11,107441,1.8960466,0.97024965
107967,53.07597751582369,-27.806543053074048,0.15862483,1.2535241,23.250372,33.894924,8.111238520681713,10.56,107967,1.8351419,0.6859544
109093,53.191219570895804,-27.80466839101662,2.3375516,5.695534,3.6229658,2.3965664,7.091858581414479,8.36,109093,1.4156201,1.5117319
109264,53.14404760552635,-27.804458519324466,3.8750474,5.740794,10.429734,12.736398,7.861287868055115,8.8,109264,0.20980395,0.818892
110306,53.16913122782837,-27.802922006432624,1.1920499,0.46560976,5.360269,4.582636,7.516035481751787,9.29,110306,-0.8505027,1.1696912
110748,53.1644669763627,-27.80218625072951,4.886321,7.4075646,26.232098,29.695276,7.729204984349241,8.5,110748,0.31709778,0.8833761
111428,53.142816512618374,-27.801075551357798,3.9919913,4.9633174,8.6753025,15.1082735,7.432029017540954,8.52,111428,-0.36586937,0.57420874
111742,53.07540785898583,-27.800632338211194,6.1409454,9.851114,7.7901897,18.085749,7.744855455347041,8.47,111742,-0.40134582,0.43073636
111790,53.11685146239086,-27.8005652627435,1.642845,4.4137454,7.7804646,11.392668,7.516717724732883,8.91,111790,0.65897703,0.68293613
113033,53.13569734260932,-27.79852386400335,0.78932554,1.0120938,0.763059,1.2150601,7.047823072986048,9.08,113033,-0.23518756,0.62800103
113702,53.187868136878706,-27.797449694570943,6.454031,6.944013,19.30351,28.919624,7.877243412156618,8.44,113702,-0.35944206,0.6674883
113716,53.161568961337736,-27.797483168592343,2.1103644,5.727401,3.8493707,3.259506,7.250500093627208,8.56,113716,1.264595,1.1809676
113958,53.182681140077115,-27.797054597323,2.3072677,2.8111517,4.6272783,8.002732,7.208284636656691,8.23,113958,-0.3803159,0.5782123
114324,53.12720887243745,-27.796417590672906,9.126926,13.524739,16.384504,22.31899,8.038315120119426,8.55,114324,0.09140779,0.73410594
114654,53.11392087612245,-27.795845096158693,1.5687996,2.33147,10.011409,17.534973,8.094430868169368,9.45,114654,-0.17836893,0.5709395
114716,53.14799601889974,-27.79571223162223,4.749701,9.137252,4.434138,7.026096,7.47616557163232,8.37,114716,0.2106112,0.6310955
115957,53.199414336858496,-27.793645386725746,0.2670459,1.3587483,2.1070075,4.0701513,6.982833633729692,9.37,115957,1.0515217,0.517673
116720,53.138702995894654,-27.792481438863376,1.0538341,0.36011964,16.243986,16.699667,7.240876315194504,9.91,116720,-1.1958516,0.9727132
118663,53.202727788742585,-27.78949918960866,3.1253507,4.704063,9.256625,12.813151,7.763836827876965,8.74,118663,0.09092764,0.7224316
121003,53.18392495834307,-27.78690775507567,2.4841318,4.271184,20.62454,21.040781,6.794963622638692,8.7,121003,0.5667402,0.98021746
123108,53.17770688772713,-27.784769976010566,2.2813907,7.753495,6.546977,9.166437,7.639436401324595,8.5,123108,0.9628453,0.7142336
123344,53.16337915145195,-27.784476010254767,0.60977465,2.9676366,1.7188131,2.502243,7.03002595828892,9.17,123344,1.3103511,0.6869089
124187,53.139387437729205,-27.78334105175843,4.576644,5.145137,9.057863,12.039184,7.517260730251662,8.33,124187,-0.18180364,0.75236523
124625,53.139184241287005,-27.782727263925196,0.48371914,1.1513631,3.717711,4.483951,7.24003014653098,9.29,124625,0.7380846,0.829115
124823,53.19751346916558,-27.78245589568449,1.2311146,1.1531128,12.460371,13.746474,7.269400928466724,11.34,124823,-0.17771763,0.9064412
126032,53.1949533021276,-27.780674043562396,3.5804243,5.193228,7.0326614,6.8065,7.6293422992539615,8.81,126032,0.43924686,1.0332273
126594,53.144298749226834,-27.779855758514778,3.1697133,3.46715,40.232246,42.634716,7.618778367171574,10.85,126594,0.03440879,0.94364995
126616,53.132284081129406,-27.7798603739226,2.822951,3.0717127,3.1077611,6.955801,7.581227695659523,8.73,126616,-0.78305566,0.44678694
127746,53.1806935793408,-27.777963405497918,1.5892799,1.1264669,7.855959,17.917974,7.698617434900926,10.88,127746,-1.2689292,0.4384401
128695,53.176914993764505,-27.776615027257407,2.61975,6.3062634,6.605449,6.8639603,7.134717961426361,8.1,128695,0.9120997,0.9623379
129399,53.163370278787134,-27.77568541497333,3.6888814,8.968608,3.5234618,6.9259624,7.378417893568166,8.48,129399,0.23079947,0.50873244
131067,53.15883212265248,-27.773494433131884,1.2683716,3.7895744,8.702844,14.97013,7.706936935991292,9.31,131067,0.59944874,0.5813472
131253,53.18158152045664,-27.77327320592849,2.725236,3.867712,5.112388,5.055818,7.021860248699495,8.33,131253,0.39220598,1.0111891
131635,53.140914113494546,-27.772795028189844,3.1147301,6.72874,16.394083,19.218,7.4783545364300545,8.55,131635,0.6637306,0.85305876
131904,53.14846961340334,-27.77252636143793,3.332459,2.4235678,3.309736,5.7457094,7.416576182153996,8.51,131904,-0.9446499,0.5760361
132619,53.2035308591895,-27.771769449537906,1.5911788,3.0484605,5.8714943,15.870301,7.728216841367928,9.02,132619,-0.3736873,0.3699674
132769,53.175577676084814,-27.77167841449004,0.6617497,1.9067354,3.4859698,4.6529145,7.21727677437543,9.14,132769,0.83548796,0.74920136
134033,53.211436045311,-27.770443839766685,7.2088056,9.396573,14.405385,21.118519,7.984703051599327,8.91,134033,-0.1275811,0.682121
136798,53.15210791418979,-27.768025828104236,3.6798806,13.177409,3.1063442,7.1018105,7.555937837146235,8.31,136798,0.48719195,0.43740174
137744,53.15677581700458,-27.767058459393045,3.1102896,4.9490566,7.5304146,20.933163,7.819829449051207,9.06,137744,-0.60573596,0.3597361
138200,53.17291650059556,-27.76655865933775,2.3451605,0.47274217,3.3409898,2.3973575,6.999422490511949,8.21,138200,-1.3785146,1.3936136
140057,53.200322271278395,-27.764117245900625,31.909136,33.557915,171.22876,148.78535,8.158672614440523,20.14,140057,0.20724103,1.1508442
141084,53.15784003810999,-27.76271155646387,2.1623452,1.6865139,4.7732162,6.262584,7.270955684151449,9.06,141084,-0.5646939,0.76218
141749,53.2015137061646,-27.76182196860664,0.42028108,2.898272,5.578455,11.96124,7.131813370404053,10.6,141749,1.2683426,0.46637765
142087,53.2057492816937,-27.761298620053594,3.2222424,1.9163939,8.970666,12.173972,7.580399008935839,8.74,142087,-0.89570254,0.73687255
142364,53.15539282733057,-27.760919952803885,2.766404,3.9852295,6.3451524,10.304683,7.599751823682459,9.0,142364,-0.13013703,0.61575425
143812,53.1858289846627,-27.75887470408315,3.591976,3.4757829,6.765222,9.547766,7.448981291654459,8.39,143812,-0.4097512,0.708566
143884,53.16110735603814,-27.75876986874583,1.4992424,2.4357982,3.0085063,3.77372,7.1097376850112095,8.38,143884,0.28087676,0.7972256
144913,53.18323240348263,-27.757273358969147,1.6043987,0.5114619,5.298741,6.537653,7.476573308189271,9.1,144913,-1.4693704,0.8104959
145133,53.15105703461451,-27.756980819277576,4.7356486,5.9083476,5.666339,5.5476046,7.448229690318819,8.59,145133,0.26320907,1.0214028
145605,53.21332814373186,-27.75631927447918,15.862999,20.591503,32.81529,35.816635,8.135079400279984,8.22,145605,0.18823555,0.9162024
147137,53.16231207835759,-27.754229116456262,2.0903156,3.6840754,4.2543554,5.184414,7.433763378902898,8.64,147137,0.4006269,0.8206049
149086,53.16716633510474,-27.75151759515755,3.0894392,4.2906423,7.2613745,10.765879,7.30122430698697,8.65,149086,-0.07097002,0.67448044
152456,53.168787302891886,-27.74417868801249,2.310615,4.731629,3.2170978,2.1293507,7.268861840862252,8.39,152456,1.2262504,1.5108352
153971,53.178612480546995,-27.740421980375817,2.5771658,5.072838,16.153454,22.964573,7.740090996466613,8.46,153971,0.35328913,0.7034075
155693,53.17156723745344,-27.734814984249425,0.34833017,2.4535513,5.270627,7.5038633,6.8039242543618235,8.89,155693,1.7359536,0.70238847
155902,53.16315784724847,-27.733878724151317,6.3394656,10.336102,12.920246,14.402825,7.665869211912495,8.63,155902,0.41281813,0.8970633
155928,53.16528127441505,-27.733787989999552,2.1502404,2.3742666,5.530319,4.7161875,7.378533654225025,8.85,155928,0.280504,1.172625
156307,53.17270803303519,-27.732155990710474,3.2308006,4.3942246,6.2813954,5.237668,7.264261977631888,8.61,156307,0.53122556,1.1992733
156705,53.16310534952663,-27.72928227681303,2.2448168,3.7615192,5.375191,2.770666,7.108723367447286,8.44,156705,1.2799804,1.9400358
165562,53.0599910740108,-27.8851443827455,3.282213,3.624946,5.8829474,7.103547,7.735950556558355,8.93,165562,-0.096863866,0.8281704
165595,53.05830155253322,-27.884855011873615,8.176944,12.904987,64.02786,89.247734,8.29101211650174,8.88,165595,0.13484599,0.71741724
167961,53.05147984445429,-27.880153338264897,0.7535637,1.7072278,3.390318,6.288984,7.293808493576652,8.9,167961,0.21707861,0.53908837
168445,53.0991602471823,-27.879426345525207,3.2605987,4.4286027,7.9963846,17.553953,7.818281246026472,8.79,168445,-0.5212797,0.45553184
172510,53.03138892609625,-27.87219595825281,0.68445265,2.453036,3.4671538,7.8273726,7.221459726913135,10.95,172510,0.5017941,0.44295245
174601,53.0822320167852,-27.86810882221155,6.9234834,8.811734,14.489416,15.597948,7.742815184067699,8.52,174601,0.18180037,0.92893094
174693,53.060575021432335,-27.86794741582401,8.574956,16.84064,25.16328,41.90686,8.142674792181818,8.66,174693,0.17902197,0.6004573
175051,53.08317403165102,-27.865709167465216,0.042997614,0.34293258,5.37486,9.677681,6.202218935840203,12.5,175051,1.6159005,0.55538714
175081,53.07052229573372,-27.867245108255684,21.240873,26.935266,30.2496,38.3419,8.368167798751712,8.48,175081,0.0004872185,0.78894365
175729,53.060584246637966,-27.866027545982195,16.807747,26.646542,46.023083,64.924995,8.340166672152733,8.34,175729,0.12673779,0.7088654
175837,53.06021282032547,-27.865723937870623,3.7486837,10.995347,34.83722,56.97477,8.026511725539512,8.61,175837,0.63422763,0.61144996
176748,53.067751149863184,-27.86454897888676,1.3680243,2.9772315,7.639443,9.700276,7.617086454303497,9.18,176748,0.584991,0.787549
177322,53.06035722521771,-27.863548390258483,13.435976,19.752382,36.475243,49.3516,8.10052400870855,8.28,177322,0.090118065,0.73908937
177323,53.06028973589819,-27.86353634945463,13.906946,18.876305,41.50154,46.425484,8.092129980191661,8.03,177323,0.20998251,0.8939388
178175,53.09238056278528,-27.862324263787773,6.2525225,7.9703803,22.563189,28.86155,7.944889445232233,8.71,178175,-0.0037384792,0.78177327
178721,53.028117936612006,-27.8615944706055,3.005387,6.4718814,11.510596,20.514023,7.866583240943753,10.78,178721,0.20544285,0.5611087
178722,53.028030924248995,-27.861589733293176,0.4783999,2.664053,6.6513886,12.5754385,7.411038910020565,9.85,178722,1.1728525,0.52891904
179483,53.08740785498166,-27.860400484012295,21.994402,26.751945,43.84738,55.594723,8.211429010399748,8.02,179483,-0.045116678,0.7886968
179485,53.087379713214645,-27.860315014314168,13.144941,39.43936,67.027466,134.30602,8.631443536147952,8.46,179485,0.43832147,0.49906525
180642,53.086787711425046,-27.859156202209896,12.504074,17.964317,16.658602,21.498262,7.989198458611812,8.02,180642,0.116485916,0.7748813
182375,53.09749459614649,-27.856769679079335,0.8326223,0.64913684,9.526889,11.04116,7.544348484378194,10.52,182375,-0.43043834,0.8628522
182979,53.08983766839683,-27.856160162679338,7.546327,18.809393,12.99751,21.368725,8.07621318110822,8.02,182979,0.45180178,0.6082492
183348,53.08293700303947,-27.855632717387085,1.5544161,3.8445778,29.714962,44.999836,7.595990663918251,14.67,183348,0.53261405,0.6603349
188180,53.07476729712077,-27.845421098641197,0.31835404,1.3647171,2.484163,4.7015977,7.478046151478632,9.94,188180,0.88766724,0.52836573
190413,53.08404013849562,-27.839348606975467,2.646875,2.8139856,649.31793,608.0213,7.188542425597534,17.82,190413,0.13781759,1.0679197
190996,53.13676359049288,-27.837454808373828,12.043342,14.035706,31.274963,40.423977,8.012594580601665,8.14,190996,-0.11238742,0.7736736
191095,53.15717322426737,-27.837098701005353,7.5127997,15.9879875,23.496311,46.42488,7.9976522566385615,8.02,191095,0.08060218,0.5061146
191483,53.077515508490656,-27.835752672370045,3.0844114,5.3759565,11.250639,19.28743,7.835530895362333,9.08,191483,0.017965652,0.5833146
192042,53.158612353249126,-27.834077003045543,10.634573,17.577477,26.683876,43.480614,8.292355496130671,8.69,192042,0.015474303,0.6136959
194246,53.14725929794984,-27.827362697051875,4.2040987,4.6615686,7.7353034,8.889589,7.651831391048363,9.02,194246,-0.03886293,0.87015307
194809,53.14364978309775,-27.825527857045525,4.1902833,6.4207177,16.808836,24.692013,7.70983045048976,8.05,194809,0.045803305,0.6807398
194969,53.139892277269645,-27.824201670660546,1.6890354,4.576357,5.7369905,12.04558,7.650822474060714,9.03,194969,0.2768439,0.4762735
195057,53.129122451870444,-27.825029371584407,1.899024,0.97484326,4.471968,7.7254157,6.230439522398476,17.0,195057,-1.3175471,0.5788644
