z_phot,log_Mstar,dust
6.7055,8.35861,0.0
4.478,8.62044,0.1
4.9149,9.19792,0.1
4.0423,9.58755,0.2
7.7889,9.29052,0.0
6.7287,8.59937,0.0
8.5962,10.68757,0.7
6.6278,8.49509,0.1
4.0802,12.17019,0.9
4.2164,7.82405,0.0
4.5673,8.04264,0.1
4.452,8.69277,0.1
6.0935,8.57799,0.1
4.1754,8.76635,0.2
4.2858,8.36667,0.0
4.8348,8.5315,0.0
5.1088,9.39279,0.2
4.5831,9.23053,0.2
4.2065,7.75923,0.0
5.3244,9.00712,0.0
7.6314,9.14634,0.0
4.9704,9.1066,0.0
4.1599,8.29313,0.1
4.5199,8.25802,0.0
4.767,9.11856,0.2
4.5167,8.15701,0.2
4.5804,8.46079,0.1
4.663,8.63138,0.1
4.2409,8.08024,0.2
4.5517,8.95267,0.1
4.596,8.71464,0.1
5.2939,8.71231,0.1
4.5045,8.5655,0.1
4.5947,8.60613,0.0
4.7867,9.18821,0.1
6.3512,9.29833,0.2
4.6562,7.94178,0.0
5.0859,8.43673,0.0
7.3375,9.29791,0.1
6.0967,8.45125,0.0
4.7714,9.50019,0.1
4.8852,8.89807,0.1
4.7941,8.65156,0.1
4.4093,8.80247,0.0
4.6089,8.13998,0.0
4.6417,9.20087,0.1
4.3521,7.76443,0.0
4.1657,8.92758,0.1
4.5101,8.42107,0.1
4.4242,8.82844,0.2
4.7016,8.36874,0.1
4.6788,8.87834,0.2
4.6131,7.74385,0.1
4.2899,10.34116,0.5
7.3499,8.42425,0.0
5.6303,9.35866,0.1
4.5002,8.36128,0.1
6.6444,8.3912,0.0
4.6325,8.58891,0.1
4.6972,8.45,0.1
5.9753,8.55855,0.2
4.0323,8.71122,0.1
4.7811,8.23014,0.0
4.5166,7.71967,0.1
4.6974,9.6331,0.1
4.6976,8.32475,0.1
4.6621,8.69127,0.2
4.6366,7.64497,0.1
5.3218,8.21421,0.1
4.5524,8.53056,0.1
5.5293,10.07599,0.4
4.6718,8.75248,0.1
4.5153,8.88784,0.1
4.6145,8.34183,0.1
4.1493,8.39165,0.1
4.605,8.30695,0.2
4.6491,7.64498,0.0
4.5008,9.27988,0.1
4.4854,7.85578,0.0
6.7863,8.6627,0.1
4.8557,9.14505,0.2
4.0294,7.80153,0.0
4.4041,8.42307,0.1
4.5735,8.87494,0.2
4.6195,8.69402,0.1
6.7081,8.50232,0.1
4.6452,7.75887,0.0
4.6169,9.04042,0.1
4.653,7.84725,0.1
4.027,8.63595,0.2
4.2731,10.68631,0.6
5.4751,8.16856,0.0
5.6997,8.99905,0.1
4.4664,7.85168,0.0
4.2436,8.18218,0.0
4.4597,8.17594,0.0
4.2831,8.89711,0.0
4.3134,8.55244,0.1
6.0847,9.41094,0.1
7.3925,8.66813,0.1
4.4329,8.37595,0.1
5.9942,9.41218,0.0
5.1048,9.47248,0.3
5.9396,8.43629,0.0
6.0378,9.36613,0.1
5.5199,8.5919,0.1
4.5376,9.30382,0.1
4.4935,8.07489,0.1
4.3885,8.28017,0.0
4.717,8.68667,0.0
4.824,8.7493,0.1
4.2629,8.79921,0.1
6.123,9.37943,0.1
4.537,8.26277,0.0
4.2482,8.93442,0.1
7.3734,10.17253,0.5
4.6661,8.17972,0.1
4.5764,9.32504,0.1
4.7354,8.24351,0.1
4.5991,8.59866,0.1
5.8539,8.98121,0.0
4.9484,8.40894,0.2
6.2698,8.7483,0.0
4.6297,8.58519,0.1
4.7588,8.2991,0.0
7.7009,8.63697,0.0
8.172,9.63962,0.4
7.2249,8.57226,0.0
7.4776,8.70416,0.1
4.6732,7.77595,0.0
5.4653,8.3084,0.0
6.5889,8.51149,0.1
4.4483,7.93097,0.1
4.7076,8.26037,0.1
4.79,8.19054,0.0
4.4392,8.72219,0.1
4.6475,8.88305,0.2
4.5973,7.88431,0.1
4.5687,7.92811,0.1
4.3123,8.0266,0.0
4.0014,8.18403,0.1
5.013,8.86215,0.1
4.5859,8.53447,0.1
6.3,8.24754,0.0
4.5906,8.75307,0.1
4.3063,9.48701,0.1
5.3536,8.25705,0.1
4.2219,9.07075,0.0
4.4234,8.77644,0.1
5.1403,10.80015,1.1
4.2549,8.80939,0.1
4.9025,8.67933,0.0
4.2543,7.83037,0.0
4.7673,8.24885,0.1
5.2267,8.33383,0.1
4.6954,8.74524,0.1
4.3158,8.2031,0.0
4.6783,7.97819,0.1
6.6274,8.84193,0.0
6.1601,8.00978,0.0
6.3486,8.22462,0.0
4.1459,9.97209,0.3
5.6278,8.65005,0.1
4.5406,8.29821,0.1
4.3428,9.20524,0.1
4.3955,8.04998,0.0
6.6551,8.7381,0.0
4.1494,9.38912,0.1
4.8587,9.0581,0.1
4.0259,9.47641,0.1
7.0475,8.41917,0.0
4.3628,8.82683,0.1
4.6509,8.00136,0.2
6.1967,8.91576,0.1
5.5438,9.19464,0.5
4.6741,8.56972,0.1
4.7419,8.85728,0.0
6.8247,9.03172,0.1
4.6962,8.45617,0.1
4.8837,8.5401,0.0
4.6884,8.1396,0.1
4.6208,9.02696,0.1
4.3288,8.24291,0.1
6.8156,9.71574,0.2
4.2321,8.93266,0.0
4.6144,9.29003,0.1
4.873,8.36894,0.1
5.8953,8.64858,0.1
4.7835,8.87861,0.1
4.495,8.4543,0.1
4.3287,8.80015,0.0
4.9384,9.72502,0.8
4.6796,8.64823,0.1
4.4206,9.13204,0.2
4.4515,8.86819,0.3
7.864,12.5989,1.2
4.0079,9.80598,0.2
4.7221,8.09895,0.1
6.0133,8.8758,0.1
5.9142,8.86752,0.1
4.5981,8.22954,0.1
4.755,8.54622,0.0
4.6837,8.89682,0.1
8.2928,9.33515,0.2
5.3157,8.35425,0.1
4.9174,9.20327,0.1
4.375,9.88305,0.1
4.4766,8.9435,0.1
4.9621,8.69564,0.0
4.3945,8.25967,0.1
4.2251,9.63957,0.3
4.6444,8.23747,0.1
4.0252,8.49149,0.2
6.8696,9.1401,0.1
5.493,8.39432,0.1
6.3889,9.4151,0.0
4.7048,8.25538,0.1
4.3327,8.52697,0.1
4.3125,8.38669,0.1
4.5205,8.41333,0.2
5.8146,8.88138,0.1
4.0748,9.25345,0.2
9.0636,8.47602,0.0
4.5293,8.04084,0.1
10.0261,7.87772,0.0
4.1055,8.41822,0.1
4.0574,9.22108,0.1
4.3874,7.92307,0.0
7.497,8.85,0.0
4.6942,8.39771,0.1
7.4876,7.83243,0.0
6.2044,8.98368,0.1
4.216,8.73028,0.2
4.651,8.65782,0.1
5.8425,8.67449,0.0
4.9668,8.28793,0.0
6.2534,8.93044,0.0
