ID,z_phot,z_best,MUV,z_spec,log_Mstar,log_Mhalo,t_cosmic_Gyr,t_stellar_Gyr,age_excess_Gyr,age_ratio,source
228189,21.99,21.99,-17.65219067840913,,6.750190572244337,10.149190572244336,0.15538448657787338,0.025672480029335105,-0.12971200654853826,0.16521906784091306,JADES-GOODS-S
228375,21.99,21.99,,,,,0.15538448657787338,,,,JADES-GOODS-S
229351,21.99,21.99,-18.576590160692124,,7.189280326328759,10.588280326328759,0.15538448657787338,0.04003621392407459,-0.1153482726537988,0.2576590160692124,JADES-GOODS-S
229607,10.9,10.9,-17.15320801305164,,6.9567738061995295,9.24677380619953,0.41884556298660647,0.048301605946727943,-0.3705439570398785,0.11532080130516387,JADES-GOODS-S
229739,12.46,12.46,,,,,0.3480076171037037,,,,JADES-GOODS-S
230688,9.16,9.16,-17.526445376174507,,7.203661553682891,9.319661553682892,0.5311940378691679,0.08108386829568574,-0.4501101695734821,0.15264453761745073,JADES-GOODS-S
231225,16.85,16.85,,,,,0.22753336999839402,,,,JADES-GOODS-S
231719,13.14,13.14,,,,,0.32313477852423683,,,,JADES-GOODS-S
232033,9.63,9.63,-17.24678499593145,,7.052022873067439,9.21502287306744,0.49629313517123397,0.06187708345152731,-0.43441605171970665,0.12467849959314492,JADES-GOODS-S
232652,11.12,11.12,-17.095388082735695,,6.920509339299455,9.232509339299455,0.4074652434041286,0.04463325717538819,-0.3628319862287404,0.10953880827356956,JADES-GOODS-S
234834,10.01,10.01,-17.084726079468023,,6.959844887747311,9.160844887747311,0.4707713031429935,0.05106579099843515,-0.4197055121445583,0.1084726079468023,JADES-GOODS-S
251501,12.35,12.35,,,,,0.3523304819456599,,,,JADES-GOODS-S
257561,15.84,15.84,,,,,0.2483947436997708,,,,JADES-GOODS-S
257580,8.02,8.02,-17.08433363472523,,7.039258476494485,9.041258476494484,0.6351856258446907,0.06887531383973933,-0.5663103120049514,0.10843336347252297,JADES-GOODS-S
257836,16.57,16.57,,,,,0.23301684612656776,,,,JADES-GOODS-S
257891,15.51,15.51,-15.59106847275082,,6.0303575245566385,8.781357524556638,0.25590850921025055,0.025590850921025057,-0.23031765828922549,0.1,JADES-GOODS-S
257919,8.85,8.85,-17.656890230624466,,7.278022859546622,9.363022859546621,0.5565113519359415,0.09220782222542755,-0.4643035297105139,0.1656890230624466,JADES-GOODS-S
258003,8.41,8.41,-16.888220581433632,,6.9305047761809755,8.971504776180975,0.5960595388099935,0.05960595388099935,-0.5364535849289942,0.1,JADES-GOODS-S
258454,18.86,18.86,-14.7608357060487,,5.501996960373134,8.587996960373134,0.1937433958796247,0.01937433958796247,-0.17436905629166222,0.1,JADES-GOODS-S
258790,13.57,13.57,-15.787991522942262,,6.201495973397575,8.758495973397576,0.3088911293857787,0.030889112938577868,-0.2780020164472008,0.1,JADES-GOODS-S
261384,18.87,18.87,-17.811399590520512,,6.950614805497244,10.037614805497244,0.19359647409632016,0.035068057390428925,-0.15852841670589124,0.18113995905205119,JADES-GOODS-S
261393,19.44,19.44,-17.09554531099341,,6.58778402272187,9.73178402272187,0.18551783265103192,0.02032431916664978,-0.16519351348438213,0.10955453109934081,JADES-GOODS-S
261468,19.0,19.0,-17.425211574637874,,6.7619754979529905,9.86197549795299,0.1917031989600207,0.027321761805292874,-0.1643814371547278,0.1425211574637874,JADES-GOODS-S
262218,19.07,19.07,,,,,0.19069643869770053,,,,JADES-GOODS-S
262428,16.54,16.54,,,,,0.23361737076731914,,,,JADES-GOODS-S
262795,18.88,18.88,,,,,0.19344973721138672,,,,JADES-GOODS-S
263217,18.88,18.88,,,,,0.19344973721138672,,,,JADES-GOODS-S
263477,21.99,21.99,,,,,0.15538448657787338,,,,JADES-GOODS-S
263511,19.0,19.0,,,,,0.1917031989600207,,,,JADES-GOODS-S
263739,17.08,17.08,-14.059871895626026,,5.240239150422363,8.148239150422363,0.22318747084806334,0.022318747084806335,-0.200868723763257,0.1,JADES-GOODS-S
263957,17.5,17.5,,,,,0.2155985786775417,,,,JADES-GOODS-S
264109,9.57,9.57,-16.964103522495492,,6.920149173185359,9.077149173185358,0.5005332869922587,0.05005332869922588,-0.4504799582930329,0.1,JADES-GOODS-S
264488,9.28,9.28,-19.24619656363548,,8.015743367726852,10.143743367726852,0.5219035115631087,0.16942013857854527,-0.3524833729845634,0.3246196563635479,JADES-GOODS-S
264796,19.49,19.49,,,,,0.18483593331088452,,,,JADES-GOODS-S
264841,11.97,11.97,-15.327849925683022,,6.046928714699437,8.443928714699437,0.3679732528191635,0.03679732528191635,-0.3311759275372471,0.1,JADES-GOODS-S
265370,9.16,9.16,-17.10847460380188,,7.005125436805893,9.121125436805894,0.5311940378691679,0.058881510066894696,-0.4723125278022732,0.11084746038018806,JADES-GOODS-S
265388,16.8,16.8,,,,,0.22849674920235238,,,,JADES-GOODS-S
265423,19.02,19.02,,,,,0.1914146542698721,,,,JADES-GOODS-S
265426,16.99,16.99,,,,,0.22487148977480337,,,,JADES-GOODS-S
265801,13.34,13.34,,,,,0.3163769446366206,,,,JADES-GOODS-S
265877,9.26,9.26,-17.76621924426828,,7.313554141027433,9.439554141027433,0.5234330934640663,0.09244976027631117,-0.4309833331877551,0.17662192442682811,JADES-GOODS-S
265999,18.88,18.88,,,,,0.19344973721138672,,,,JADES-GOODS-S
266264,8.67,8.67,-16.655315188022172,,6.809474714310532,8.876474714310532,0.5721473469186991,0.05721473469186991,-0.5149326122268292,0.1,JADES-GOODS-S
269237,15.37,15.37,,,,,0.25921098810749005,,,,JADES-GOODS-S
269831,14.08,14.08,,,,,0.29330357563034815,,,,JADES-GOODS-S
270272,9.13,9.13,-18.093466988111267,,7.474196819352853,9.587196819352853,0.5335596918656731,0.11169896011076061,-0.42186073175491245,0.20934669881112666,JADES-GOODS-S
